Latitude,Longitude,Stop Name,Stop Status
40.63684,-74.036371,SHORE RD/71 ST,at stop
40.635856,-74.02651,BAY RIDGE AV/3 AV,at stop
40.638647,-74.035493,BAY RIDGE AV/SHORE RD,at stop
40.62325,-73.98932,60 ST/17 AV,at stop
40.619492,-73.983078,60 ST/20 AV,at stop
40.618313,-73.957076,AV M/E 18 ST,at stop
40.638131,-74.033843,NARROWS AV/BAY RIDGE AV,approaching
40.614277,-73.971651,AV N/E 3 ST,approaching
40.634856,-74.02407,4 AV/BAY RIDGE AV,approaching
40.639329,-74.01594,60 ST/5 AV,approaching
40.63706,-74.012151,60 ST/7 AV,approaching
40.622225,-73.943646,AV L/NEW YORK AV,approaching
40.627278,-73.995968,60 ST/NEW UTRECHT AV,approaching
40.633699,-74.006605,60 ST/FT HAMILTON PY,approaching
40.614149,-73.927525,FLATBUSH AV/E 48 ST,< 1 stop away
40.615217,-73.968762,OCEAN PKY S/AV M,< 1 stop away
40.617691,-73.931465,FLATBUSH AV/TROY AV,< 1 stop away
40.608718,-73.921116,FLATBUSH AV/AV T,< 1 stop away
40.608531,-73.920907,FLATBUSH AV/AV T,< 1 stop away
