Latitude,Longitude,Stop Name,Stop Status
40.810712,-73.947164,ADAM C POWELL BL/W 128 ST,at stop
40.768246,-73.970103,5 AV/W 66 ST,at stop
40.82345,-73.93784,ADAM C POWELL BL/W 148 ST,at stop
40.781042,-73.95867,MADISON AV/E 86 ST,at stop
40.762613,-73.972116,MADISON AV/E 57 ST,approaching
40.764876,-73.972574,5 AV/W 59 ST,approaching
40.84071,-73.938898,BROADWAY/W 168 ST,approaching
40.765314,-73.972252,5 AV/W 59 ST,approaching
40.73029,-73.990592,N/A,N/A
40.813181,-73.945165,ADAM C POWELL BL/W 133 ST,approaching
40.76549,-73.972124,5 AV/W 59 ST,approaching
40.756643,-73.976476,MADISON AV/E 49 ST,approaching
40.751977,-73.979872,MADISON AV/E 42 ST,< 1 stop away
40.765913,-73.971813,5 AV/W 59 ST,< 1 stop away
40.828436,-73.935525,ADAM C POWELL BL/W 154 ST,< 1 stop away
40.770182,-73.968691,5 AV/W 66 ST,< 1 stop away
40.75576,-73.977118,MADISON AV/E 49 ST,< 1 stop away
40.770419,-73.968518,5 AV/W 66 ST,< 1 stop away
40.774002,-73.965906,5 AV/W 72 ST,< 1 stop away
40.827526,-73.935211,EDGECOMBE AV/W 155 ST,< 1 stop away
